review_id,order_id,customer_id,product_id,rating,review_text,review_date,verified_purchase
REV00001,ORD00640,C1493,P007,5,Breathable material and lightweight - ideal for long office days.,2026-03-11,True
REV00002,ORD01121,C1320,P002,2,"The insole is too thin, no arch support, my feet ache by evening.",2025-09-11,True
REV00003,ORD00476,C1176,P001,5,"Excellent build quality, the stitching and finish look premium. Perfect for daily walks. The cushioning on the Everyday Sneakers is fantastic.",2026-03-12,True
REV00004,ORD00999,C1213,P009,5,"My third pair from Neeman's, and the Classic Loafer might be my favourite so far.",2026-07-18,True
REV00005,ORD00851,C1182,P007,4,"Excellent build quality, the stitching and finish look premium.",2025-12-22,True
REV00006,ORD00050,C1065,P003,2,"The Daily Walk fit narrow, my toes felt cramped within an hour of wearing them. The Daily Walk run really small, had to return and get a bigger size.",2026-06-15,True
REV00007,ORD00138,C1436,P006,1,"Poor durability, the stitching on the sides is already coming apart.",2026-07-26,True
REV00008,ORD01150,C1369,P011,3,"The Cloud Step are okay, nothing special but does the job.",2026-06-10,True
REV00009,ORD01395,C1146,P002,5,"Bought as a gift, and the packaging plus quality really impressed my friend.",2026-08-11,True
REV00010,ORD00056,C1395,P004,5,Fits true to size and the arch support is great for standing all day. I was skeptical but the City Slip-On exceeded my expectations. Extremely comfortable fit.,2025-09-11,True
REV00011,ORD00368,C1045,P008,3,"Average experience. Comfortable but the Olive Green colour looked a bit different than the photos. Good for casual use, not something I'd wear for long walks though.",2026-06-18,True
REV00012,ORD01311,C1036,P003,4,"Bought as a gift, and the packaging plus quality really impressed my friend.",2026-01-07,True
REV00013,ORD00823,C1062,P002,2,Sizing is inconsistent - my other Neeman's shoes fit fine but these Runner Pro don't.,2026-02-15,True
REV00014,ORD00814,C1492,P012,3,"Fit is okay, needed a few days to break in before it felt normal. Good for casual use, not something I'd wear for long walks though.",2025-09-29,True
REV00015,ORD00364,C1095,P008,3,"Fit is okay, needed a few days to break in before it felt normal.",2026-01-09,True
REV00016,ORD01365,C1088,P007,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall.",2026-01-20,True
REV00017,ORD00485,C1440,P003,2,"Not comfortable at all for daily wear, the sole feels too hard.",2026-02-17,True
REV00018,ORD00129,C1196,P012,4,"The Urban Hi-Top are so soft and comfortable, feels like walking on clouds.",2026-02-09,True
REV00019,ORD00778,C1485,P004,2,"Size guide is misleading, ordered my usual size but the City Slip-On were too tight.",2025-12-28,True
REV00020,ORD01256,C1421,P012,5,"Excellent build quality, the stitching and finish look premium.",2026-06-26,True
REV00021,ORD00638,C1241,P001,5,"Stylish look, comfortable sole, and delivery was quick too. Very happy overall.",2026-06-20,True
REV00022,ORD00928,C1267,P008,4,Loved the design and the fit was spot on. Would definitely recommend the Trail Blazer.,2026-08-23,True
REV00023,ORD01097,C1454,P009,5,Good value for money. The Classic Loafer feel premium and well made.,2026-06-26,True
REV00024,ORD01092,C1083,P003,3,"Fit is okay, needed a few days to break in before it felt normal.",2025-09-29,True
REV00025,ORD00320,C1328,P002,5,Great quality for the price. My Runner Pro still look brand new after months of use.,2026-05-15,True
REV00026,ORD00659,C1337,P010,5,"Bought as a gift, and the packaging plus quality really impressed my friend.",2026-07-09,True
REV00027,ORD00916,C1415,P009,5,Breathable material and lightweight - ideal for long office days.,2026-08-09,True
