order_id,customer_id,product_id,order_date,delivery_date,order_status,quantity,order_value,delivery_days,return_status,return_reason
ORD00001,C1044,P011,2025-10-22,2025-10-30,Delivered,2,4398,8,Not Returned,
ORD00002,C1258,P010,2026-03-30,2026-04-01,Delivered,1,2599,2,Not Returned,
ORD00003,C1301,P010,2025-09-08,2025-09-13,Delivered,1,2599,5,Not Returned,
ORD00004,C1079,P005,2025-08-29,2025-09-05,Delivered,1,3499,7,Not Returned,
ORD00005,C1373,P004,2026-02-14,2026-02-19,Delivered,2,4598,5,Not Returned,
ORD00006,C1282,P008,2026-05-27,,Cancelled,1,3699,,Not Returned,
ORD00007,C1338,P005,2026-07-13,2026-07-19,Delivered,1,3499,6,Not Returned,
ORD00008,C1427,P004,2026-01-21,2026-01-24,Returned,1,2299,3,Returned,Quality issue
ORD00009,C1036,P006,2025-11-17,2025-11-19,Delivered,1,2799,2,Not Returned,
ORD00010,C1236,P010,2026-07-17,2026-07-24,Delivered,1,2599,7,Not Returned,
ORD00011,C1028,P007,2026-01-11,2026-01-14,Delivered,1,1499,3,Not Returned,
ORD00012,C1290,P004,2025-09-11,2025-09-14,Delivered,2,4598,3,Not Returned,
ORD00013,C1126,P012,2026-02-03,2026-02-06,Returned,1,2999,3,Returned,Quality issue
ORD00014,C1459,P012,2026-06-09,2026-06-11,Delivered,1,2999,2,Not Returned,
ORD00015,C1024,P010,2026-03-18,2026-03-23,Delivered,1,2599,5,Not Returned,
ORD00016,C1197,P002,2025-11-12,2025-11-23,Delivered,1,3199,11,Not Returned,
ORD00017,C1349,P007,2026-06-27,2026-06-28,Returned,1,1499,1,Returned,Size issue
ORD00018,C1080,P009,2026-01-09,2026-01-12,Delivered,1,2899,3,Not Returned,
ORD00019,C1320,P008,2025-08-27,2025-09-04,Delivered,1,3699,8,Not Returned,
ORD00020,C1390,P005,2026-07-19,2026-07-22,Delivered,1,3499,3,Not Returned,
ORD00021,C1185,P003,2026-05-29,2026-06-05,Delivered,1,1999,7,Not Returned,
ORD00022,C1040,P005,2025-12-26,2025-12-29,Delivered,1,3499,3,Not Returned,
ORD00023,C1084,P002,2026-05-01,2026-05-08,Delivered,2,6398,7,Not Returned,
ORD00024,C1276,P005,2026-05-23,2026-05-27,Delivered,1,3499,4,Not Returned,
ORD00025,C1460,P012,2026-08-14,2026-08-17,Delivered,1,2999,3,Not Returned,
ORD00026,C1010,P009,2026-04-14,2026-04-16,Delivered,1,2899,2,Not Returned,
ORD00027,C1034,P010,2026-06-05,2026-06-09,Delivered,1,2599,4,Not Returned,
ORD00028,C1248,P001,2026-02-11,2026-02-15,Delivered,1,2499,4,Not Returned,
ORD00029,C1208,P004,2026-05-29,2026-06-01,Delivered,1,2299,3,Not Returned,
ORD00030,C1442,P004,2025-10-13,2025-10-14,Delivered,1,2299,1,Not Returned,
ORD00031,C1441,P012,2025-09-22,2025-09-27,Delivered,1,2999,5,Not Returned,
ORD00032,C1142,P002,2025-12-31,2026-01-04,Delivered,1,3199,4,Not Returned,
ORD00033,C1276,P008,2025-12-31,2026-01-01,Delivered,1,3699,1,Not Returned,
ORD00034,C1109,P001,2025-10-12,2025-10-18,Delivered,1,2499,6,Not Returned,
ORD00035,C1232,P007,2025-09-25,2025-09-26,Delivered,2,2998,1,Not Returned,
ORD00036,C1097,P005,2026-03-30,2026-04-07,Delivered,1,3499,8,Not Returned,
ORD00037,C1299,P005,2025-12-15,2025-12-17,Delivered,1,3499,2,Not Returned,
ORD00038,C1041,P008,2026-05-10,2026-05-13,Delivered,3,11097,3,Not Returned,
ORD00039,C1291,P003,2025-09-30,2025-10-08,Delivered,2,3998,8,Not Returned,
ORD00040,C1267,P004,2026-06-18,2026-06-28,Delivered,1,2299,10,Not Returned,
ORD00041,C1330,P006,2026-01-06,2026-01-09,Delivered,1,2799,3,Not Returned,
ORD00042,C1318,P005,2026-04-17,2026-04-19,Returned,1,3499,2,Returned,Late delivery
ORD00043,C1035,P010,2025-10-16,2025-10-17,Delivered,1,2599,1,Not Returned,
ORD00044,C1413,P004,2026-03-03,2026-03-16,Delivered,1,2299,13,Not Returned,
ORD00045,C1135,P011,2026-05-23,2026-05-26,Delivered,2,4398,3,Not Returned,
ORD00046,C1175,P002,2025-10-19,2025-10-21,Delivered,1,3199,2,Not Returned,
ORD00047,C1424,P004,2026-08-12,2026-08-28,Delivered,1,2299,16,Not Returned,
ORD00048,C1134,P005,2025-09-17,2025-09-19,Delivered,1,3499,2,Not Returned,
