product_id,product_name,category,price,color
P001,Everyday Sneakers,Sneakers,2499,Charcoal Grey
P002,Runner Pro,Running,3199,Jet Black
P003,Daily Walk,Casual,1999,Stone Beige
P004,City Slip-On,Casual,2299,Navy Blue
P005,Wool Runner,Running,3499,Heather Grey
P006,Active Knit,Sneakers,2799,Forest Green
P007,Comfort Sandal,Sandals,1499,Tan Brown
P008,Trail Blazer,Outdoor,3699,Olive Green
P009,Classic Loafer,Formal,2899,Espresso Brown
P010,Flex Trainer,Sneakers,2599,White
P011,Cloud Step,Casual,2199,Sky Blue
P012,Urban Hi-Top,Sneakers,2999,Black/White
